漢字,正しい読み,意味
貼付,てんぷ,書類などを貼り付けること。「ちょうふ」は俗読みで、正しくは「てんぷ」。
続柄,つづきがら,親族関係の呼び方。父・母・兄弟など、家族の間柄を表す語。
依存,いそん,他のものに頼って存在・機能すること。「いぞん」は慣用読みとして広く使われるが、本来は「いそん」。
雰囲気,ふんいき,その場に漂う独特の気配・情緒。「ふいんき」は誤読として定着しているが、正しくは「ふんいき」。
早急,さっきゅう,非常に急ぐこと。「そうきゅう」も許容されているが、本来の読みは「さっきゅう」。
重複,ちょうふく,同じものが重なること。「じゅうふく」は慣用読みとして広まっているが、本来は「ちょうふく」。
代替,だいたい,他のものに置き換えること。「だいがえ」は誤読。正しくは「だいたい」。
消耗,しょうもう,使って減らすこと、また体力や気力が尽きること。「しょうこう」は誤読。
出納,すいとう,金銭や物品の出し入れ・収支の管理のこと。会計用語として使われる。
相殺,そうさい,互いの利害・損得を差し引いてゼロにすること。「あいさつ（挨拶）」とは別の語。
堪能,たんのう,十分に満足すること、また技芸などに非常に優れていること。
固執,こしつ,自分の意見や考えを頑固に守り変えないこと。「こしゅう」は誤読。
漏洩,ろうえい,秘密や情報などが外部に漏れること。「ろうせつ」とも読むが、「ろうえい」が一般的。
招聘,しょうへい,礼を尽くして人を招くこと。専門家や著名人を正式に招待する際に使う。
憂鬱,ゆううつ,気持ちが晴れず、ふさぎ込んでいる状態。難しい漢字だが読みもよく間違えられる。
脆弱,ぜいじゃく,もろくて弱いこと。システムや体制の弱点を指す際にも使われる。
進捗,しんちょく,物事が進みはかどること。仕事の「進捗状況」などの形で使われる。
破綻,はたん,計画や事業などが行き詰まり、うまくいかなくなること。
瑕疵,かし,欠点・傷・欠陥のこと。法律・不動産の分野で「瑕疵担保責任」などの形で使われる。
齟齬,そご,物事がうまく噛み合わず、食い違うこと。「齟齬をきたす」の形でよく使われる。
捺印,なついん,書類に印鑑を押すこと。「押印」と同じ意味。「なついん」が正しい読み。
遵守,じゅんしゅ,法律・規則・命令などをよく守ること。「法令遵守」の形で使われる。
逼迫,ひっぱく,事態が差し迫って余裕がなくなること。財政・状況が追い詰められた状態。
乖離,かいり,二つのものが離れてしまうこと。理想と現実の「乖離」などの形で使われる。
牽引,けんいん,引っ張ること。また、物事を主導・先導すること。「経済を牽引する」などの形で使われる。
